Resturant,Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
Arby's,SmokehouseBrisket,203,8.79,600,310,35,12,1,100,1240,42,2,7,33
Arby's,TraditionalGreekGyro,273,6.79,710,390,44,13,0,75,1360,55,4,6,23
Arby's,RoastBeefGyro,273,5.40,550,260,29,7,1,60,1290,48,3,5,24
Arby's,Reuben,308,8.59,680,280,31,8,0.5,80,2420,62,4,5,37
Arby's,ClassicRoastBeef,154,5.49,360,120,14,5,0.5,50,970,37,2,5,23
Arby's,DoubleRoastBeef,239,7.29,510,210,24,9,1.5,95,1610,38,2,5,38
Arby's,HalfPoundRoastBeef,295,8.39,610,270,30,12,2,130,2040,38,2,5,48
Arby's,ClassicBeef‘nCheddar,195,6.29,450,180,20,6,1,50,1280,45,2,9,23
Arby's,DoubleBeef‘nCheddar,301,8.19,630,290,32,11,1.5,100,2100,48,2,9,39
Arby's,HalfPoundBeef‘nCheddar,358,9.49,740,350,39,14,2,130,2530,48,2,9,49
Arby's,ClassicFrenchDip&Swiss/AuJus,327,7.29,540,190,22,10,1,85,2550,51,2,3,34
Arby's,ButtermilkCrispyChicken,235,6.89,510,220,25,5,0,55,1230,48,4,7,24
Arby's,ButtermilkChickenBacon&Swiss,268,8.29,610,270,30,9,0,85,1510,51,5,10,35
Arby's,ButtermilkBuffaloChicken,224,7.29,500,210,23,4.5,0,55,1860,49,4,7,24
Arby's,ChickenTenders(3),131,6.49,360,150,17,2.5,0,45,950,28,2,0,23
Arby's,ChickenTenders(5),219,8.79,600,250,28,4,0,75,1590,47,3,0,39
Arby's,BuffaloChickenSlider,106,2.39,290,120,13,2,0,20,860,31,2,2,12
Arby's,ChickenTender‘nCheeseSlider,99,2.39,290,110,12,3.5,0,25,720,30,1,1,15
Arby's,JalapeñoRoastBeef‘nCheeseSlider,98,2.39,240,90,11,4.5,0,30,670,21,1,1,14
Arby's,RoastBeef‘nCheeseSlider,91,2.39,240,90,11,4.5,0,30,670,21,1,1,14
