Item,ServingSize,Price,Calories,CaloriesFromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein
ChalupaSupreme-Beef,,4.39,360,,21,6,0,25,570,31,4,4,12
CheesyGorditaCrunch,,4.69,500,,28,10,0,50,840,41,5,5,20
CrunchyTaco,,1.79,170,,10,3.5,0,25,300,13,3,0,8
CrunchyTacoSupreme,,2.89,190,,11,4.5,0,25,320,15,3,2,8
NachoCheeseDoritosLocosTaco,,2.79,170,,9,3.5,0,25,350,13,3,0,8
NachoCheeseDoritosLocosTacoSupreme,,3.19,190,,11,4.5,0,25,360,15,3,2,8
SoftTaco-Beef,,1.79,180,,9,4,0,25,500,18,3,1,9
SoftTacoSupreme-Beef,,2.89,210,,10,5,0,25,510,20,3,2,9
BeanBurrito,,1.89,350,,9,4,0,5,1040,55,10,3,13
Beefy5-LayerBurrito,,3.89,490,,18,7,0,25,1260,65,8,5,18
BurritoSupreme-Beef,,4.79,400,,14,6,0,25,1130,51,8,4,16
Quesarito-Beef,,5.19,650,,33,13,0.5,50,1420,67,5,4,21
ChipsandNachoCheeseSauce,,2.29,220,,13,1.5,0,0,280,24,2,1,3
NachosBellGrande-Beef,,5.99,730,,38,6,0,25,1130,81,15,4,17
BlackBeanQuesarito,,4.99,630,,30,11,0,35,1310,71,7,5,19
Quesadilla-Cheese,,4.39,470,,24,13,0,50,1000,41,3,3,18
Quesadilla-Chicken,,5.29,520,,26,13,0,75,1260,41,3,3,26
Quesadilla-Steak,,5.59,520,,27,14,0,70,1270,42,3,4,26
BlackBeanCrunchwrapSupreme,,4.99,520,,18,5,0,5,1100,77,7,6,13
ChalupaSupreme,,4.39,360,,21,6,0,25,570,31,4,4,12
CheesyGorditaCrunch,,4.69,500,,28,10,0,50,840,41,5,5,20
CrunchwrapSupreme,,4.99,540,,21,7,0,20,1210,73,6,6,15
MexicanPizza,,5.49,540,,29,8,0,40,940,49,10,3,19
MexicanPizza-Veggie,,5.49,470,,25,6,0,20,690,46,8,3,14
BeefyMeltBurrito,,2.59,620,,29,11,0,45,1190,70,6,4,20
CheesyBean&RiceBurrito,,1.29,420,,16,4,0,5,920,55,7,3,9
CheesyRollUp,,1.29,180,,9,6,0,20,430,17,1,1,8
ChipotleRanchGrilledChickenBurrito,,2.99,510,,29,7,0,45,950,47,4,3,17
FiestaVeggieBurrito,,2.59,570,,28,8,0,25,1030,65,8,4,14
SpicyPotatoSoftTaco,,1.29,240,,12,3,0,10,480,28,2,1,5
BreakfastCrunchwrap-Bacon,,3.99,670,,40,13,0,135,1300,52,4,3,21
BreakfastCrunchwrap-Sausage,,3.99,730,,47,15,0,140,1290,52,4,3,20
BreakfastQuesadilla-Bacon,,3.29,510,,27,14,0,150,1250,41,3,3,25
BreakfastQuesadilla-Sausage,,3.29,510,,29,15,0,150,1130,40,3,3,23
BreakfastQuesadilla-Steak,,3.99,510,,25,14,0,160,1310,41,3,4,28
CheesyToastedBreakfastBurrito-Bacon,,1.49,350,,16,5,0,105,880,38,2,3,13
CheesyToastedBreakfastBurrito-FiestaPotato,,1.29,340,,14,3.5,0,95,770,44,3,3,9
CheesyToastedBreakfastBurrito-Sausage,,1.49,350,,17,6,0,105,770,38,2,3,10
GrandeToastedBreakfastBurrito-Bacon,,3.99,570,,30,11,0,220,1310,52,4,3,23
GrandeToastedBreakfastBurrito-Sausage,,3.99,570,,31,12,0,220,1190,51,4,3,21
GrandeToastedBreakfastBurrito-Steak,,4.39,570,,28,10,0,230,1370,52,4,4,27
